# Item_Type_Classnames.txt
# These are the classnames for items that can be used in Quest or Objective json files. 
itemCategory,classname
clothes,AirborneMask
clothes,AthleticShoes_Black
clothes,AthleticShoes_Blue
clothes,AthleticShoes_Brown
clothes,AthleticShoes_Green
clothes,AthleticShoes_Grey
clothes,AviatorGlasses
clothes,BDUJacket
clothes,BDUPants
clothes,Balaclava3Holes_Beige
clothes,Balaclava3Holes_Black
clothes,Balaclava3Holes_Blue
clothes,Balaclava3Holes_Green
clothes,BalaclavaMask_Beige
clothes,BalaclavaMask_Black
clothes,BalaclavaMask_Blackskull
clothes,BalaclavaMask_Blue
clothes,BalaclavaMask_Green
clothes,BalaclavaMask_Pink
clothes,BalaclavaMask_White
clothes,BallisticHelmet_BDU
clothes,BallisticHelmet_Black
clothes,BallisticHelmet_Desert
clothes,BallisticHelmet_Green
clothes,BallisticHelmet_UN
clothes,BallisticHelmet_Woodland
clothes,Bandana_Blackpattern
clothes,Bandana_Camopattern
clothes,Bandana_Greenpattern
clothes,Bandana_Polkapattern
clothes,Bandana_Redpattern
clothes,BaseballCap_Beige
clothes,BaseballCap_Black
clothes,BaseballCap_Blue
clothes,BaseballCap_CMMG_Black
clothes,BaseballCap_CMMG_Pink
clothes,BaseballCap_Camo
clothes,BaseballCap_Olive
clothes,BaseballCap_Pink
clothes,BaseballCap_Red
clothes,BeanieHat_Beige
clothes,BeanieHat_Black
clothes,BeanieHat_Blue
clothes,BeanieHat_Brown
clothes,BeanieHat_Green
clothes,BeanieHat_Grey
clothes,BeanieHat_Pink
clothes,BeanieHat_Red
clothes,BomberJacket_Black
clothes,BomberJacket_Blue
clothes,BomberJacket_Brown
clothes,BomberJacket_Grey
clothes,BomberJacket_Maroon
clothes,BomberJacket_Olive
clothes,BomberJacket_SkyBlue
clothes,BoonieHat_Black
clothes,BoonieHat_Blue
clothes,BoonieHat_DPM
clothes,BoonieHat_Dubok
clothes,BoonieHat_Flecktran
clothes,BoonieHat_NavyBlue
clothes,BoonieHat_Olive
clothes,BoonieHat_Orange
clothes,BoonieHat_Red
clothes,BoonieHat_Tan
clothes,Breeches_Beetcheck
clothes,Breeches_Beige
clothes,Breeches_Black
clothes,Breeches_Blackcheck
clothes,Breeches_Blue
clothes,Breeches_Browncheck
clothes,Breeches_Green
clothes,Breeches_Pink
clothes,Breeches_Red
clothes,Breeches_White
clothes,CanvasPantsMidi_Beige
clothes,CanvasPantsMidi_Blue
clothes,CanvasPantsMidi_Grey
clothes,CanvasPantsMidi_Red
clothes,CanvasPantsMidi_Violet
clothes,CanvasPants_Beige
clothes,CanvasPants_Blue
clothes,CanvasPants_Grey
clothes,CanvasPants_Red
clothes,CanvasPants_Violet
clothes,CargoPants_Beige
clothes,CargoPants_Black
clothes,CargoPants_Blue
clothes,CargoPants_Green
clothes,CargoPants_Grey
clothes,Chainmail
clothes,Chainmail_Coif
clothes,Chainmail_Leggings
clothes,ChernarusSportShirt
clothes,ChestHolster
clothes,Chestplate
clothes,CivilianBelt
clothes,CombatBoots_Beige
clothes,CombatBoots_Black
clothes,CombatBoots_Brown
clothes,CombatBoots_Green
clothes,CombatBoots_Grey
clothes,ConstructionHelmet_Blue
clothes,ConstructionHelmet_Lime
clothes,ConstructionHelmet_Orange
clothes,ConstructionHelmet_Red
clothes,ConstructionHelmet_White
clothes,ConstructionHelmet_Yellow
clothes,CowboyHat_Brown
clothes,CowboyHat_black
clothes,CowboyHat_darkBrown
clothes,CowboyHat_green
clothes,DarkMotoHelmet_Black
clothes,DarkMotoHelmet_Blue
clothes,DarkMotoHelmet_Green
clothes,DarkMotoHelmet_Grey
clothes,DarkMotoHelmet_Lime
clothes,DarkMotoHelmet_Red
clothes,DarkMotoHelmet_White
clothes,DarkMotoHelmet_Yellow
